global_ids,bat_ids,LongName,Label_number,areas,volumes,perimeter,X,Y,Z,aspect_ratio,Boundary_line,surface_areas,ax1s
2PS34_buT8r8gcHx_FDBxq,68199,수직통로,33416,6.750051473,27.67521104,14.00001746,5.50000873,1.499999998,4.1,3.66667249,7,70.90009797,2.561862956
2PS34_buT8r8gcHx_FDBxt,68342,수직통로,33416,2.080000017,8.528000071,6.800000013,2.6,0.800000007,4.1,3.249999973,4,32.04000009,3.757035627
2PS34_buT8r8gcHx_FDBxu,67945,승강기홀,33109,6.249987159,25.62494735,9.999989734,2.500085504,2.499909363,4.1,1.000070459,4,70.90017451,2.766841763
2PS34_buT8r8gcHx_FDBxx,68022,승강기홀,33109,8.399515898,34.43801518,11.59966518,2.799923225,2.999909363,4.1,0.93333594,5,32.04000009,0.93036721
2PS34_buT8r8gcHx_FDBy9,65605,수직통로,33416,4.397841352,25.83596832,12.59833675,5.501846677,0.8,6.1,6.877308346,6,47.76000005,1.848585641
2PS34_buT8r8gcHx_FDBYd,73313,설비관련공간,33400,36.23285412,107.9739053,26.15598261,7.66399127,4.81400002,2.98,1.592021446,7,72.53824598,0.671812748
2PS34_buT8r8gcHx_FDByd,73313,수직통로,33416,6.752770119,41.19189772,14.00369335,5.501846677,1.499999998,6.1,3.667897789,7,72.53824598,1.760983349
2PS34_buT8r8gcHx_FDBye,65134,승강기홀,33109,6.264397883,38.18640801,10.01151253,2.501846903,2.503909363,6.1,0.999176304,4,98.92806967,2.59066183
2PS34_buT8r8gcHx_FDByh,65228,승강기홀,33109,8.410945537,51.27701552,11.60781827,2.799999774,3.003909363,6.1,0.932118595,5,83.07219868,1.620066961
2PS34_buT8r8gcHx_FDByk,65315,승강기홀,33109,4.200000007,25.62000004,8.200000007,2,2.100000003,6.1,0.952380951,4,60.58233171,2.364649946
2PS34_buT8r8gcHx_FDBzN,65049,수직통로,33416,4.401477341,17.60590937,12.32815415,5.501846677,0.8,4,6.877308346,4,58.42000005,3.318204066
2PS34_buT8r8gcHx_FDBzP,64927,수직통로,33416,6.752770119,39.16606669,14.00369335,5.501846677,1.499999998,5.8,3.667897789,7,87.6675253,2.238354083
2PS34_buT8r8gcHx_FDBzw,64835,승강기홀,33109,4.200000007,24.36000004,8.200000007,2,2.100000003,5.8,0.952380951,4,73.6353416,3.022797269
3AV0y5ky106PrkmD0xkQy2,86543,수직통로,33416,3.783158571,9.22485386,9.511403111,1.01,3.745701556,2.4384,0.269642411,4,30.75892249,3.334353363
3AV0y5ky106PrkmD0xkQy9,86608,수직통로,33416,3.783158571,9.22485386,9.511403111,1.01,3.745701556,2.4384,0.269642411,4,30.75892249,3.334353363
3AV0y5ky106PrkmD0xkQzJ,86690,계단실,33101,5.979988911,14.58160496,12.69998261,4.949991307,1.4,2.4384,3.535708076,9,42.92761543,2.943956824
3QMW4JwEbBl8P8CIdg4sNG,86915,설비관련공간,33400,34.29663768,202.3494461,26.30416909,6.160879747,7,5.9,0.880125678,11,226.6511,1.120097457
